employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id,,,,Name
100,Steven,King,SKING,515.123.4567,6/17/1987,AD_PRES,24000,NULL,NULL,90,,,,Steven King
101,Neena,Kochhar,NKOCHHAR,515.123.4568,9/21/1989,AD_VP,17000,NULL,100,90,,,,Neena Kochhar
102,Lex,De Haan,LDEHAAN,515.123.4569,1/13/1993,AD_VP,17000,NULL,100,90,,,,Lex De Haan
103,Alexander,Hunold,AHUNOLD,590.423.4567,1/3/1990,IT_PROG,9000,NULL,102,60,,,,Alexander Hunold
104,Bruce,Ernst,BERNST,590.423.4568,5/21/1991,IT_PROG,6000,NULL,103,60,,,,Bruce Ernst
105,David,Austin,DAUSTIN,590.423.4569,6/25/1997,IT_PROG,4800,NULL,103,60,,,,David Austin
106,Valli,Pataballa,VPATABAL,590.423.4560,2/5/1998,IT_PROG,4800,NULL,103,60,,,,Valli Pataballa
107,Diana,Lorentz,DLORENTZ,590.423.5567,2/7/1999,IT_PROG,4200,NULL,103,60,,,,Diana Lorentz
108,Nancy,Greenberg,NGREENBE,515.124.4569,8/17/1994,FI_MGR,12000,NULL,101,100,,,,Nancy Greenberg
109,Daniel,Faviet,DFAVIET,515.124.4169,8/16/1994,FI_ACCOUNT,9000,NULL,108,100,,,,Daniel Faviet
110,John,Chen,JCHEN,515.124.4269,9/28/1997,FI_ACCOUNT,8200,NULL,108,100,,,,John Chen
111,Ismael,Sciarra,ISCIARRA,515.124.4369,9/30/1997,FI_ACCOUNT,7700,NULL,108,100,,,,Ismael Sciarra
112,Jose Manuel,Urman,JMURMAN,515.124.4469,3/7/1998,FI_ACCOUNT,7800,NULL,108,100,,,,Jose Manuel Urman
113,Luis,Popp,LPOPP,515.124.4567,12/7/1999,FI_ACCOUNT,6900,NULL,108,100,,,,Luis Popp
114,Den,Raphaely,DRAPHEAL,515.127.4561,12/7/1994,PU_MAN,11000,NULL,100,30,,,,Den Raphaely
115,Alexander,Khoo,AKHOO,515.127.4562,5/18/1995,PU_CLERK,3100,NULL,114,30,,,,Alexander Khoo
116,Shelli,Baida,SBAIDA,515.127.4563,12/24/1997,PU_CLERK,2900,NULL,114,30,,,,Shelli Baida
117,Sigal,Tobias,STOBIAS,515.127.4564,7/24/1997,PU_CLERK,2800,NULL,114,30,,,,Sigal Tobias
118,Guy,Himuro,GHIMURO,515.127.4565,11/15/1998,PU_CLERK,2600,NULL,114,30,,,,Guy Himuro
119,Karen,Colmenares,KCOLMENA,515.127.4566,8/10/1999,PU_CLERK,2500,NULL,114,30,,,,Karen Colmenares
120,Matthew,Weiss,MWEISS,650.123.1234,7/18/1996,ST_MAN,8000,NULL,100,50,,,,Matthew Weiss
121,Adam,Fripp,AFRIPP,650.123.2234,4/10/1997,ST_MAN,8200,NULL,100,50,,,,Adam Fripp
122,Payam,Kaufling,PKAUFLIN,650.123.3234,5/1/1995,ST_MAN,7900,NULL,100,50,,,,Payam Kaufling
123,Shanta,Vollman,SVOLLMAN,650.123.4234,10/10/1997,ST_MAN,6500,NULL,100,50,,,,Shanta Vollman
124,Kevin,Mourgos,KMOURGOS,650.123.5234,11/16/1999,ST_MAN,5800,NULL,100,50,,,,Kevin Mourgos
125,Julia,Nayer,JNAYER,650.124.1214,7/16/1997,ST_CLERK,3200,NULL,120,50,,,,Julia Nayer
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,9/28/1998,ST_CLERK,2700,NULL,120,50,,,,Irene Mikkilineni
127,James,Landry,JLANDRY,650.124.1334,1/14/1999,ST_CLERK,2400,NULL,120,50,,,,James Landry
128,Steven,Markle,SMARKLE,650.124.1434,3/8/2000,ST_CLERK,2200,NULL,120,50,,,,Steven Markle
129,Laura,Bissot,LBISSOT,650.124.5234,8/20/1997,ST_CLERK,3300,NULL,121,50,,,,Laura Bissot
130,Mozhe,Atkinson,MATKINSO,650.124.6234,10/30/1997,ST_CLERK,2800,NULL,121,50,,,,Mozhe Atkinson
131,James,Marlow,JAMRLOW,650.124.7234,2/16/1997,ST_CLERK,2500,NULL,121,50,,,,James Marlow
132,TJ,Olson,TJOLSON,650.124.8234,4/10/1999,ST_CLERK,2100,NULL,121,50,,,,TJ Olson
133,Jason,Mallin,JMALLIN,650.127.1934,6/14/1996,ST_CLERK,3300,NULL,122,50,,,,Jason Mallin
134,Michael,Rogers,MROGERS,650.127.1834,8/26/1998,ST_CLERK,2900,NULL,122,50,,,,Michael Rogers
135,Ki,Gee,KGEE,650.127.1734,12/12/1999,ST_CLERK,2400,NULL,122,50,,,,Ki Gee
136,Hazel,Philtanker,HPHILTAN,650.127.1634,2/6/2000,ST_CLERK,2200,NULL,122,50,,,,Hazel Philtanker
137,Renske,Ladwig,RLADWIG,650.121.1234,7/14/1995,ST_CLERK,3600,NULL,123,50,,,,Renske Ladwig
138,Stephen,Stiles,SSTILES,650.121.2034,10/26/1997,ST_CLERK,3200,NULL,123,50,,,,Stephen Stiles
139,John,Seo,JSEO,650.121.2019,2/12/1998,ST_CLERK,2700,NULL,123,50,,,,John Seo
140,Joshua,Patel,JPATEL,650.121.1834,4/6/1998,ST_CLERK,2500,NULL,123,50,,,,Joshua Patel
141,Trenna,Rajs,TRAJS,650.121.8009,10/17/1995,ST_CLERK,3500,NULL,124,50,,,,Trenna Rajs
142,Curtis,Davies,CDAVIES,650.121.2994,1/29/1997,ST_CLERK,3100,NULL,124,50,,,,Curtis Davies
143,Randall,Matos,RMATOS,650.121.2874,3/15/1998,ST_CLERK,2600,NULL,124,50,,,,Randall Matos
144,Peter,Vargas,PVARGAS,650.121.2004,7/9/1998,ST_CLERK,2500,NULL,124,50,,,,Peter Vargas
145,John,Russell,JRUSSEL,011.44.1344.429268,10/1/1996,SA_MAN,14000,0.4,100,80,,,,John Russell
146,Karen,Partners,KPARTNER,011.44.1344.467268,1/5/1997,SA_MAN,13500,0.3,100,80,,,,Karen Partners
147,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,3/10/1997,SA_MAN,12000,0.3,100,80,,,,Alberto Errazuriz
148,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,10/15/1999,SA_MAN,11000,0.3,100,80,,,,Gerald Cambrault
149,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,1/29/2000,SA_MAN,10500,0.2,100,80,,,,Eleni Zlotkey
150,Peter,Tucker,PTUCKER,011.44.1344.129268,1/30/1997,SA_REP,10000,0.3,145,80,,,,Peter Tucker
151,David,Bernstein,DBERNSTE,011.44.1344.345268,3/24/1997,SA_REP,9500,0.25,145,80,,,,David Bernstein
152,Peter,Hall,PHALL,011.44.1344.478968,8/20/1997,SA_REP,9000,0.25,145,80,,,,Peter Hall
153,Christopher,Olsen,COLSEN,011.44.1344.498718,3/30/1998,SA_REP,8000,0.2,145,80,,,,Christopher Olsen
154,Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,12/9/1998,SA_REP,7500,0.2,145,80,,,,Nanette Cambrault
155,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,11/23/1999,SA_REP,7000,0.15,145,80,,,,Oliver Tuvault
156,Janette,King,JKING,011.44.1345.429268,1/30/1996,SA_REP,10000,0.35,146,80,,,,Janette King
157,Patrick,Sully,PSULLY,011.44.1345.929268,3/4/1996,SA_REP,9500,0.35,146,80,,,,Patrick Sully
